%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069371406145410,138,1708104572000000000,GPS1_Frame,42.337233385,-71.086914135,4.388,328078.69776993117,4689329.15657688,19,T,1.0,,5
1708069372495821296,139,1708104573000000000,GPS1_Frame,42.337233491666666,-71.08691351666667,4.369,328078.7490014363,4689329.167171215,19,T,1.0,,5
1708069373587814404,140,1708104574000000000,GPS1_Frame,42.33723355,-71.08691307166667,4.357,328078.78582131583,4689329.172748957,19,T,1.0,,5
1708069374676952014,141,1708104575000000000,GPS1_Frame,42.33723358666667,-71.08691252,4.348,328078.8313697861,4689329.175705118,19,T,1.2,,5
1708069375683154164,142,1708104576000000000,GPS1_Frame,42.337233581666666,-71.08691213333333,4.346,328078.863211335,4689329.174368119,19,T,1.1,,5
1708069376775806511,143,1708104577000000000,GPS1_Frame,42.33723353833334,-71.08691177333333,4.343,328078.89275150804,4689329.168828415,19,T,1.1,,5
1708069377866904823,144,1708104578000000000,GPS1_Frame,42.337233485,-71.08691143,4.343,328078.9208913635,4689329.1622119825,19,T,1.1,,5
1708069378956502175,145,1708104579000000000,GPS1_Frame,42.33723346166666,-71.08691117,4.334,328078.9422476356,4689329.159095311,19,T,1.2,,5
1708069379961929996,146,1708104580000000000,GPS1_Frame,42.33723346833333,-71.086911005,4.326,328078.9558591733,4689329.159501986,19,T,1.4,,5
1708069380971830913,147,1708104581000000000,GPS1_Frame,42.33723345166667,-71.08691081333333,4.325,328078.9716040336,4689329.157263757,19,T,1.4,,5
1708069381977912401,148,1708104582000000000,GPS1_Frame,42.33723349666667,-71.08691072666667,4.322,328078.9788666188,4689329.162085436,19,T,1.4,,5
1708069382987800455,149,1708104583000000000,GPS1_Frame,42.33723351333333,-71.08691078,4.313,328078.9745182224,4689329.164043973,19,T,1.4,,5
1708069383991572490,150,1708104584000000000,GPS1_Frame,42.337233508333334,-71.08691088333333,4.312,328078.96599157684,4689329.163697689,19,T,1.4,,5
1708069384998456332,151,1708104585000000000,GPS1_Frame,42.33723343166667,-71.08691097,4.315,328078.95864269184,4689329.155359669,19,T,1.4,,5
1708069386005200860,152,1708104586000000000,GPS1_Frame,42.337233338333334,-71.08691111166667,4.318,328078.9467172645,4689329.145282145,19,T,1.4,,5
1708069387014588747,153,1708104587000000000,GPS1_Frame,42.33723319,-71.08691134166666,4.321,328078.9273646914,4689329.129275886,19,T,1.4,,5
1708069388018533923,154,1708104588000000000,GPS1_Frame,42.33723275,-71.08691255666666,4.311,328078.8260689626,4689329.082873806,19,T,1.2,,4
1708069389032916649,155,1708104589000000000,GPS1_Frame,42.33723275,-71.08691255666666,4.311,328078.8260689626,4689329.082873806,19,T,1.2,,4
